11/6/2013,"6,80","6,91","-2,0%","6,91","6,68",39.865.959
10/6/2013,"6,94","7,05","-1,6%","7,11","6,89",21.175.400
7/6/2013,"7,06","7,06","0,2%","7,10","6,92",32.926.841
6/6/2013,"7,04","7,17","-1,9%","7,23","6,98",38.911.632
5/6/2013,"7,17","7,22","-1,4%","7,38","7,17",27.460.329
4/6/2013,"7,28","7,22","1,3%","7,33","7,22",21.022.572
3/6/2013,"7,18","7,18","-0,9%","7,33","7,12",25.043.975
31/5/2013,"7,25","7,32","-1,0%","7,35","7,20",22.632.829
30/5/2013,"7,32","7,27","0,4%","7,41","7,26",22.098.295
29/5/2013,"7,29","7,29","-0,5%","7,35","7,22",21.581.529
28/5/2013,"7,33","7,23","1,9%","7,42","7,23",27.812.263
27/5/2013,"7,19","7,15","1,1%","7,19","7,09",9.862.131
24/5/2013,"7,11","7,24","-1,0%","7,25","7,05",28.874.158
23/5/2013,"7,18","7,04","-0,5%","7,21","7,00",36.598.950
22/5/2013,"7,21","7,23","-0,2%","7,27","7,09",31.380.159
21/5/2013,"7,23","7,30","-1,3%","7,35","7,15",29.411.129
20/5/2013,"7,32","7,44","-1,2%","7,45","7,23",23.503.186
17/5/2013,"7,41","7,41","-0,4%","7,45","7,28",60.938.875
16/5/2013,"7,44","7,42","-0,3%","7,48","7,38",15.324.963
15/5/2013,"7,46","7,35","1,0%","7,50","7,31",22.978.975
14/5/2013,"7,39","7,44","0,1%","7,45","7,28",20.825.018
13/5/2013,"7,39","7,51","-1,4%","7,53","7,29",21.400.340
10/5/2013,"7,49","7,57","-0,9%","7,62","7,44",33.951.902
9/5/2013,"7,56","7,54","0,5%","7,60","7,51",29.894.554
8/5/2013,"7,52","7,55","-0,2%","7,56","7,44",21.259.833
7/5/2013,"7,53","7,43","1,7%","7,54","7,42",28.039.792
6/5/2013,"7,41","7,48","-1,2%","7,48","7,37",12.178.416
3/5/2013,"7,50","7,41","1,7%","7,50","7,38",36.313.375
2/5/2013,"7,37","7,35","0,0%","7,55","7,20",32.759.579
30/4/2013,"7,37","7,48","-0,7%","7,53","7,36",30.897.192
29/4/2013,"7,42","7,19","3,0%","7,42","7,19",40.613.210
26/4/2013,"7,20","7,28","-1,4%","7,30","7,14",33.794.486
25/4/2013,"7,30","7,32","-0,4%","7,33","7,16",28.440.547
24/4/2013,"7,33","7,29","1,2%","7,38","7,20",33.327.984
23/4/2013,"7,25","6,93","4,8%","7,31","6,91",47.467.516
22/4/2013,"6,91","6,89","1,2%","6,96","6,81",20.393.094
19/4/2013,"6,83","6,80","1,5%","6,89","6,75",48.344.733
18/4/2013,"6,73","6,76","-0,1%","6,85","6,66",35.024.839
17/4/2013,"6,73","6,84","-0,9%","6,84","6,67",35.353.654
16/4/2013,"6,79","6,74","-0,1%","6,88","6,71",19.977.775
15/4/2013,"6,80","6,84","-0,4%","6,89","6,71",22.643.294
12/4/2013,"6,83","6,93","-2,4%","6,96","6,79",28.677.602
11/4/2013,"6,99","6,95","0,4%","7,01","6,86",29.663.254
10/4/2013,"6,97","6,74","4,3%","7,06","6,71",56.128.769
9/4/2013,"6,68","6,56","2,7%","6,68","6,51",53.854.234
8/4/2013,"6,51","6,56","-1,8%","6,63","6,50",23.368.237
5/4/2013,"6,63","6,72","-0,7%","6,76","6,52",34.745.685
4/4/2013,"6,68","6,82","-0,9%","6,92","6,63",44.790.270
3/4/2013,"6,74","6,86","-2,6%","6,90","6,68",33.090.975
2/4/2013,"6,92","6,76","2,3%","6,92","6,63",36.779.931
28/3/2013,"6,76","6,76","-0,1%","6,85","6,60",35.647.588
27/3/2013,"6,77","6,85","-0,4%","6,87","6,60",61.496.068
26/3/2013,"6,80","7,09","-3,3%","7,11","6,79",51.614.941
25/3/2013,"7,03","7,43","-3,6%","7,48","6,99",40.472.748
22/3/2013,"7,30","7,33","-0,9%","7,40","7,25",25.037.619
21/3/2013,"7,36","7,40","-0,4%","7,46","7,27",30.981.086
20/3/2013,"7,40","7,29","2,4%","7,48","7,23",32.874.114
19/3/2013,"7,23","7,53","-4,8%","7,55","7,13",60.817.623
18/3/2013,"7,59","7,50","-2,6%","7,60","7,44",40.561.711
15/3/2013,"7,79","7,80","0,1%","7,84","7,72",84.474.400
14/3/2013,"7,78","7,64","2,4%","7,82","7,64",37.499.290
13/3/2013,"7,60","7,57","-0,1%","7,63","7,54",20.199.958
12/3/2013,"7,60","7,65","-0,8%","7,72","7,57",18.576.827
11/3/2013,"7,66","7,67","-0,5%","7,69","7,59",17.752.401
8/3/2013,"7,70","7,50","4,0%","7,71","7,47",38.456.211
7/3/2013,"7,40","7,42","0,1%","7,51","7,40",20.334.707
6/3/2013,"7,39","7,50","-0,8%","7,53","7,38",20.135.481
5/3/2013,"7,45","7,41","1,7%","7,46","7,33",29.610.114
4/3/2013,"7,32","7,21","0,2%","7,34","7,19",18.235.969
1/3/2013,"7,31","7,38","-1,7%","7,46","7,17",29.118.117
28/2/2013,"7,43","7,41","0,7%","7,47","7,36",26.499.144
27/2/2013,"7,38","7,29","1,7%","7,38","7,21",25.133.272
26/2/2013,"7,26","7,24","-4,1%","7,39","7,20",59.283.555
25/2/2013,"7,57","7,61","-0,0%","7,80","7,49",44.412.690
22/2/2013,"7,57","7,50","1,8%","7,57","7,45",23.452.437
21/2/2013,"7,44","7,54","-2,1%","7,54","7,38",30.810.673
20/2/2013,"7,60","7,65","-0,7%","7,70","7,57",22.129.672
19/2/2013,"7,65","7,47","2,1%","7,65","7,46",26.851.532
18/2/2013,"7,50","7,48","-0,4%","7,53","7,40",14.583.300
15/2/2013,"7,53","7,61","-0,9%","7,66","7,51",27.815.427
14/2/2013,"7,60","7,62","-1,3%","7,67","7,44",31.030.312
13/2/2013,"7,70","7,64","1,5%","7,76","7,57",36.561.850
12/2/2013,"7,58","7,34","3,2%","7,59","7,31",32.842.513
11/2/2013,"7,34","7,45","-0,8%","7,45","7,31",21.473.900
8/2/2013,"7,40","7,11","4,4%","7,43","7,09",38.924.772
7/2/2013,"7,09","7,15","-0,6%","7,27","7,06",35.725.178
6/2/2013,"7,13","7,15","-0,1%","7,19","7,04",31.967.899
5/2/2013,"7,13","6,98","2,3%","7,17","6,97",32.781.793
4/2/2013,"6,97","7,31","-4,7%","7,31","6,97",43.836.528
1/2/2013,"7,31","7,13","-0,2%","7,37","7,00",57.756.805
31/1/2013,"7,33","7,50","-2,7%","7,50","7,30",29.110.442
30/1/2013,"7,53","7,70","-2,2%","7,74","7,51",25.828.633
29/1/2013,"7,70","7,77","-1,0%","7,80","7,65",21.697.155
