7/6/2013,"8.266,60","8.229,20","0,6%","8.308,70","8.165,10",297.871.458
6/6/2013,"8.216,70","8.308,60","-0,9%","8.418,30","8.216,70",278.270.155
5/6/2013,"8.290,70","8.308,40","-0,9%","8.430,00","8.283,30",261.977.388
4/6/2013,"8.363,00","8.341,40","0,9%","8.418,40","8.337,50",204.150.431
3/6/2013,"8.284,40","8.266,60","-0,4%","8.368,60","8.191,90",231.561.337
31/5/2013,"8.320,60","8.441,40","-1,3%","8.441,40","8.304,60",306.736.458
30/5/2013,"8.433,50","8.404,40","-0,1%","8.487,10","8.395,20",237.142.672
29/5/2013,"8.441,70","8.466,20","-0,8%","8.495,80","8.424,20",271.570.373
28/5/2013,"8.511,30","8.408,50","1,8%","8.583,60","8.398,20",298.979.137
27/5/2013,"8.363,60","8.301,40","1,2%","8.363,60","8.297,80",101.407.019
24/5/2013,"8.264,60","8.388,80","-0,9%","8.394,60","8.216,50",189.938.919
23/5/2013,"8.343,60","8.267,70","-1,4%","8.356,60","8.243,50",282.410.039
22/5/2013,"8.462,40","8.469,50","-0,0%","8.505,50","8.381,20",246.352.463
21/5/2013,"8.464,50","8.500,20","-0,6%","8.538,00","8.398,20",216.784.388
20/5/2013,"8.515,20","8.585,40","-0,8%","8.613,80","8.445,40",192.352.802
17/5/2013,"8.582,40","8.528,10","0,5%","8.590,00","8.518,40",333.373.550
16/5/2013,"8.542,30","8.569,90","-0,5%","8.589,70","8.521,90",175.163.396
15/5/2013,"8.582,50","8.464,70","1,3%","8.595,60","8.438,60",260.686.048
14/5/2013,"8.474,60","8.481,20","0,2%","8.489,80","8.366,70",259.973.087
13/5/2013,"8.457,80","8.554,20","-1,0%","8.574,60","8.405,00",227.580.604
10/5/2013,"8.544,50","8.583,00","-0,3%","8.669,20","8.511,70",278.399.906
9/5/2013,"8.572,70","8.597,80","-0,3%","8.608,00","8.536,40",240.239.157
8/5/2013,"8.597,00","8.544,00","0,6%","8.614,50","8.500,00",263.524.978
7/5/2013,"8.544,00","8.541,90","0,5%","8.589,40","8.500,10",245.774.712
6/5/2013,"8.503,80","8.551,20","-0,5%","8.553,80","8.472,60",111.252.578
3/5/2013,"8.544,80","8.445,70","1,6%","8.566,10","8.410,30",249.998.383
2/5/2013,"8.406,40","8.393,90","-0,1%","8.563,50","8.286,60",297.681.797
30/4/2013,"8.419,00","8.488,80","-0,4%","8.524,20","8.397,80",263.763.761
29/4/2013,"8.450,90","8.324,70","1,9%","8.463,90","8.324,70",305.490.065
26/4/2013,"8.297,00","8.323,40","-0,8%","8.329,70","8.251,50",251.945.853
25/4/2013,"8.365,10","8.360,00","-0,3%","8.388,80","8.270,20",251.465.313
24/4/2013,"8.389,30","8.300,20","1,2%","8.412,40","8.287,50",329.226.754
23/4/2013,"8.289,30","8.046,40","3,3%","8.310,20","8.031,50",372.070.906
22/4/2013,"8.027,70","7.983,80","1,4%","8.058,30","7.927,60",184.179.164
19/4/2013,"7.915,50","7.888,00","1,3%","7.955,80","7.851,10",290.492.065
18/4/2013,"7.812,50","7.843,50","0,1%","7.923,90","7.764,20",245.637.639
17/4/2013,"7.803,00","7.984,70","-1,8%","7.992,40","7.743,60",308.068.687
16/4/2013,"7.948,70","7.976,80","-0,8%","8.033,70","7.934,50",208.225.210
15/4/2013,"8.014,10","8.051,70","-0,3%","8.093,70","7.941,40",233.258.214
12/4/2013,"8.040,40","8.084,90","-1,5%","8.103,40","8.011,00",231.794.156
11/4/2013,"8.159,50","8.127,90","0,3%","8.178,90","8.063,10",214.751.503
10/4/2013,"8.136,40","7.917,60","3,4%","8.179,00","7.910,20",425.646.251
9/4/2013,"7.872,50","7.846,60","1,1%","7.897,30","7.811,60",234.157.415
